Total.Household.Income,Region,Total.Food.Expenditure,Household.Head.Sex,Household.Head.Age,Type.of.Household,Total.Number.of.Family.members,House.Floor.Area,House.Age,Number.of.bedrooms,Electricity
219850,X - Northern Mindanao,53194,Male,41,Single Family,3,100,10,2,1
105228,X - Northern Mindanao,44749,Male,54,Extended Family,5,40,3,1,1
129905,X - Northern Mindanao,65756,Male,33,Single Family,5,64,11,1,1
134641,X - Northern Mindanao,62265,Male,32,Single Family,3,64,28,2,1
98182,X - Northern Mindanao,48455,Male,65,Extended Family,5,48,11,2,1
258555,X - Northern Mindanao,79671,Male,58,Extended Family,12,80,15,3,1
72395,X - Northern Mindanao,30337,Male,61,Single Family,2,48,19,1,0
127370,X - Northern Mindanao,47679,Female,65,Extended Family,6,72,10,1,0
230426,X - Northern Mindanao,70187,Male,68,Extended Family,9,40,31,1,1
86962,X - Northern Mindanao,30845,Male,83,Single Family,1,150,43,2,1
121719,X - Northern Mindanao,65103,Male,41,Extended Family,7,45,14,1,0
76292,X - Northern Mindanao,32246,Male,64,Extended Family,3,80,2,2,0
78011,X - Northern Mindanao,36964,Male,51,Single Family,2,28,1,0,0
81333,X - Northern Mindanao,34522,Male,36,Extended Family,4,80,18,1,1
62895,X - Northern Mindanao,24404,Male,41,Single Family,2,15,15,1,0
148818,X - Northern Mindanao,57868,Male,49,Single Family,5,56,8,2,1
68303,X - Northern Mindanao,27747,Male,64,Single Family,1,80,24,4,1
63810,X - Northern Mindanao,19231,Male,46,Single Family,1,30,5,0,1
35614,X - Northern Mindanao,11253,Male,86,Single Family,1,30,15,1,1
67056,X - Northern Mindanao,19123,Male,52,Single Family,1,40,15,1,0
107102,X - Northern Mindanao,46419,Female,23,Extended Family,2,40,2,1,1
140833,X - Northern Mindanao,43641,Male,65,Extended Family,5,25,15,0,1
119920,X - Northern Mindanao,65096,Male,44,Single Family,5,96,15,3,1
554543,X - Northern Mindanao,93039,Male,66,Two or More Nonrelated Persons/Members,7,160,4,4,1
37127,X - Northern Mindanao,10688,Female,57,Single Family,1,70,50,2,1
42287,X - Northern Mindanao,16081,Female,79,Single Family,1,50,16,1,1
260142,X - Northern Mindanao,71448,Male,58,Extended Family,11,25,12,0,1
68340,X - Northern Mindanao,27668,Female,28,Single Family,2,50,5,1,0
42870,X - Northern Mindanao,21980,Female,59,Extended Family,4,40,3,1,0
139410,X - Northern Mindanao,38580,Female,64,Extended Family,4,50,12,2,1
35040,X - Northern Mindanao,21909,Male,47,Single Family,2,30,7,1,1
83575,X - Northern Mindanao,46047,Male,43,Single Family,6,40,2,1,1
